# %ECSV 0.9
# ---
# datatype:
# - {name: Source_Name, datatype: string}
# - {name: RAJ2000, unit: deg, datatype: float32}
# - {name: DEJ2000, unit: deg, datatype: float32}
# - {name: Pivot_Energy, unit: GeV, datatype: float32, format: '{0:.1f}'}
# - {name: PL_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: PL_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Flux_Density, unit: ph / (cm2 GeV s), datatype: float32, format: '{0:.4e}'}
# - {name: LP_Index, datatype: float32, format: '{0:.4f}'}
# - {name: LP_Beta, datatype: float32, format: '{0:.6f}'}
# - {name: Redshift, datatype: float32, format: '{0:.3f}'}
# schema: astropy-2.0
Source_Name RAJ2000 DEJ2000 Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_Beta Redshift
J0828.3+4153 127.088 41.8983 32.0 1.6229e-13 2.0833 1.6229e-13 2.0833 0.003289 0.226
J0831.8+0429 127.961 4.49564 14.5 7.1120e-12 3.2081 7.1120e-12 3.2081 0.000760 0.174
J0847.0-2337 131.753 -23.6221 23.7 2.2994e-12 3.1043 2.2994e-12 3.1043 0.001445 0.059
J0847.2+1134 131.808 11.5667 30.3 5.7367e-13 0.6766 5.7367e-13 0.6766 0.005105 0.199
J0849.9+5108 132.494 51.1418 15.6 4.1886e-12 3.2087 4.1886e-12 3.2087 0.000760 0.583
J0850.0-1214 132.52 -12.2388 16.7 2.6369e-12 3.2093 2.6369e-12 3.2093 0.000759 0.566
J0850.6+3454 132.652 34.907 21.0 7.3420e-13 3.1065 7.3420e-13 3.1065 0.001445 0.145
J0854.8+2006 133.712 20.1004 19.1 6.6514e-12 3.2074 6.6514e-12 3.2074 0.000760 0.306
J0903.2+4650 135.807 46.8496 15.8 1.1707e-12 3.2122 1.1707e-12 3.2122 0.000756 1.462
J0908.9+2311 137.238 23.1908 19.9 2.6934e-12 3.2083 2.6934e-12 3.2083 0.000760 0.223
J0909.2+0122 137.318 1.37358 13.7 2.9065e-12 3.2095 2.9065e-12 3.2095 0.000759 1.024
J0909.7-0231 137.445 -2.52846 23.2 5.6705e-13 2.0504 5.6705e-13 2.0504 0.003228 0.957
J0910.5+3329 137.628 33.4887 27.2 1.6452e-12 2.4146 1.6452e-12 2.4146 0.002764 0.354
J0912.4+1555 138.124 15.9303 33.8 5.8409e-13 3.1056 5.8409e-13 3.1056 0.001446 0.212
J0912.9-2103 138.232 -21.0531 29.5 1.3047e-12 2.4146 1.3047e-12 2.4146 0.002763 0.198
J0913.4+8132 138.351 81.549 22.5 5.7012e-13 3.1062 5.7012e-13 3.1062 0.001446 0.639
J0920.8+4442 140.224 44.7012 14.3 4.0436e-12 3.2094 4.0436e-12 3.2094 0.000759 2.186
J0922.5-0528 140.633 -5.48313 18.1 1.3597e-12 2.4147 1.3597e-12 2.4147 0.002767 0.974
J0926.4+5411 141.6 54.186 27.2 2.8335e-13 2.0504 2.8335e-13 2.0504 0.003228 0.850
